user_id,frirst_name,last_name,email_address,created_date,modified_date
1,Alex,Jaxon,alex@example.com,12/3/2013,3/3/2015
2,Danny,Smith,smith@example.com,2/4/2013,4/7/2027
3,Josh,Washington,josh@example.com,12/5/2015,3/5/2024
4,Sara,Josh,sara@example.com,2/6/2007,1/7/2008
5,Amy,Rose,rose@example.com,12/7/2013,2/6/2014
6,Sam,Sann,sann@example.com,6/8/2013,7/6/2014
7,Aren,Wonder,aren@example.com,9/9/2010,10/5/2010
8,Nancy,Wille,wille@example.com,12/20/2013,5/6/2014
9,Thomas,Smith,smith@example.com,12/12/2008,1/9/2009
10,Jhon,Cooper,cooper@example.com,12/12/2012,1/6/2013
